"Model","AUC_testing","Accuracy_testing","Kappa_testing","Sensitivity_testing","Specificity_testing","Precision_testing","Recall_testing","F1_testing","AUC_validation","Accuracy_validation","Kappa_validation","Sensitivity_validation","Specificity_validation","Precision_validation","Recall_validation","F1_validation"
"RF 50",0.964936814608046,0.964508580343214,0.928924181813529,0.96045197740113,0.968301886792453,0.965909090909091,0.96045197740113,0.963172804532578,0.835649773035706,0.835029835029835,0.663865862640444,0.774471417384495,0.884223918575064,0.844577284372331,0.774471417384495,0.808006535947712
"RF 50",0.969972121495692,0.969578783151326,0.939082657783751,0.966908797417272,0.972075471698113,0.970040485829959,0.966908797417272,0.968472109943411,0.859561137934472,0.856791856791857,0.708206961611279,0.798747063429914,0.903944020356234,0.871050384286934,0.798747063429914,0.833333333333333
"RF 50",0.966470787143236,0.966458658346334,0.932834725248751,0.963680387409201,0.969056603773585,0.966801619433198,0.963680387409201,0.965238480194018,0.847967748892646,0.848016848016848,0.690258674131558,0.78778386844166,0.896946564885496,0.861301369863014,0.78778386844166,0.822903885480573
"RF 50",0.970469581859129,0.970358814352574,0.940632199561408,0.964487489911219,0.975849056603774,0.973920130399348,0.964487489911219,0.969180859691809,0.851882531186724,0.851526851526851,0.698172167994945,0.805011746280345,0.889312977099237,0.855241264559068,0.805011746280345,0.829366680112949
"RF 50",0.969046227644058,0.969188767550702,0.938335588155426,0.97497982243745,0.96377358490566,0.961783439490446,0.97497982243745,0.968336673346693,0.856261288380494,0.855387855387855,0.705694953637329,0.803445575567737,0.897582697201018,0.864363942712721,0.803445575567737,0.832792207792208
"RF 50",0.969315034426261,0.968798751950078,0.937507578485692,0.962873284907183,0.974339622641509,0.972290138549307,0.962873284907183,0.967558799675588,0.859370884618451,0.857844857844858,0.71118661427946,0.815191855912294,0.892493638676845,0.860330578512397,0.815191855912294,0.837153196622437
"RF 50",0.974207643483573,0.974648985959438,0.949239537240989,0.973365617433414,0.975849056603774,0.974151857835218,0.973365617433414,0.97375857892612,0.843410556751831,0.840996840996841,0.676047895624227,0.781519185591229,0.889312977099237,0.851535836177474,0.781519185591229,0.815026541445488
"RF 50",0.969315034426261,0.969188767550702,0.938293584063248,0.964487489911219,0.973584905660377,0.971544715447154,0.964487489911219,0.96800324017821,0.859964803217992,0.858546858546859,0.711974819587118,0.804228660924041,0.902671755725191,0.870338983050847,0.804228660924041,0.835978835978836
"RF 100",0.972196243472839,0.97191887675507,0.943786277747091,0.974172719935432,0.969811320754717,0.967923015236568,0.974172719935432,0.971037811745776,0.856463197976003,0.854334854334854,0.703134756962116,0.794831636648395,0.902671755725191,0.869006849315068,0.794831636648395,0.830265848670757
"RF 100",0.973154566904567,0.973478939157566,0.946887008165934,0.969330104923325,0.977358490566038,0.975629569455727,0.969330104923325,0.97246963562753,0.851522236971435,0.85047385047385,0.695694296722093,0.79796397807361,0.893129770992366,0.858466722830665,0.79796397807361,0.82711038961039
